,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
337,Maniitsoq,GL,65.42,51.49,59,0,12.97
338,Nikolskoye,RU,59.7,52.45,81,23,2.24
339,Havre,US,48.55,75.83,39,1,15.23
340,Ushuaia,AR,-54.81,39.2,92,20,5.82
341,Petropavlovsk-Kamchatskiy,RU,53.05,50.0,100,90,13.42
342,Qaanaaq,GL,77.48,43.57,65,100,2.75
343,Hilo,US,19.71,80.42,62,90,10.29
344,Monywa,MM,22.12,85.78,66,95,16.06
345,Haines Junction,CA,60.75,68.7,38,39,5.14
346,Barrow,AR,-38.31,47.11,73,100,13.15
347,Stokmarknes,NO,68.56,50.92,83,100,25.01
348,East London,ZA,-33.02,49.67,78,0,8.1
349,Busselton,AU,-33.64,53.91,71,53,14.67
350,Rikitea,PF,-23.12,71.9,82,100,39.19
351,Barrow,AR,-38.31,47.11,73,100,13.15
352,Walvis Bay,NA,-22.95,53.33,58,0,4.7
353,Clyde River,CA,70.47,37.4,100,90,8.05
354,Ancud,CL,-41.87,50.0,100,75,21.92
355,Ushuaia,AR,-54.81,39.2,92,20,5.82
356,Rikitea,PF,-23.12,71.9,82,100,39.19
357,Albany,US,42.65,64.92,49,40,5.79
358,Esso,RU,55.93,47.53,73,100,5.91
359,Albany,US,42.65,64.92,49,40,5.79
360,Puerto Ayacucho,CO,5.66,80.6,83,40,5.82
361,Zihuatanejo,MX,17.64,89.6,62,40,5.82
362,Cherskiy,RU,68.75,68.7,44,72,5.46
363,Vokhtoga,RU,58.81,50.58,96,100,3.4
364,Thompson,CA,55.74,71.6,64,90,6.93
365,Mehamn,NO,71.03,47.71,65,63,6.04
366,Hilo,US,19.71,80.42,62,90,10.29
367,Rikitea,PF,-23.12,71.9,82,100,39.19
368,Tadine,NC,-21.55,68.16,69,11,19.24
369,Mataura,NZ,-46.19,43.0,87,100,15.01
370,Sindor,RU,62.87,54.59,72,95,7.43
371,Senanga,ZM,-16.1,48.2,23,0,4.32
372,Agadez,NE,16.97,89.6,33,1,4.7
373,Omidiyeh,IR,30.76,85.75,23,0,11.41
374,Banfora,BF,10.64,73.54,92,90,5.23
375,Kahului,US,20.89,81.43,52,40,24.16
376,Hobart,AU,-42.88,48.54,71,20,14.99
377,Bredasdorp,ZA,-34.53,60.24,67,2,13.87
378,Ushuaia,AR,-54.81,39.2,92,20,5.82
379,Kavaratti,IN,10.57,84.24,78,100,16.91
380,Carnarvon,ZA,-30.97,42.63,80,32,7.78
381,Port Elizabeth,US,39.31,74.73,88,75,5.82
382,Klaksvik,FO,62.23,48.2,100,59,8.05
383,Jamestown,AU,-33.21,49.86,82,17,4.23
384,Verkhoyansk,RU,67.55,73.49,33,100,14.18
385,Tessalit,ML,20.2,87.3,26,0,7.34
386,Nanortalik,GL,60.14,48.04,56,99,8.75
387,Dwarka,IN,28.58,87.6,79,40,12.12
388,Dikson,RU,73.51,32.92,93,90,17.83
389,Christchurch,NZ,-43.53,50.72,66,79,10.29
390,Port Alfred,ZA,-33.59,57.99,71,0,5.01
391,Butaritari,KI,3.07,80.73,83,100,15.75
392,Praia,BR,-20.25,57.74,62,0,9.17
393,Dukhovshchina,RU,55.19,47.86,97,32,4.34
394,Rikitea,PF,-23.12,71.9,82,100,39.19
395,Farias Brito,BR,-6.93,78.8,54,20,3.78
396,Zafra,ES,38.43,55.65,90,0,3.38
397,Ilulissat,GL,69.22,51.8,53,75,5.44
398,Tabou,CI,4.42,72.99,89,100,5.44
399,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
400,Inta,RU,66.04,54.52,60,31,10.69
401,Saskylakh,RU,71.97,55.34,67,96,6.15
402,Ushuaia,AR,-54.81,39.2,92,20,5.82
403,Karasjok,NO,69.47,50.0,66,41,9.82
404,Bilma,NE,18.69,89.26,14,0,5.77
405,Altay,CN,47.83,67.96,45,13,7.74
406,Mataura,NZ,-46.19,43.0,87,100,15.01
407,Cidreira,BR,-30.17,43.78,89,15,1.54
408,Aklavik,CA,68.22,57.2,54,75,8.05
409,Hilo,US,19.71,80.42,62,90,10.29
410,Port-Gentil,GA,-0.72,73.94,84,99,14.07
411,Chokurdakh,RU,70.62,62.89,53,23,9.04
412,Hearst,CA,49.69,62.51,55,3,5.79
413,Aksu,KZ,52.04,69.8,60,0,6.71
414,Herat,AF,34.35,71.6,26,0,3.36
415,Freeport,BS,26.54,84.2,74,75,11.41
416,Rikitea,PF,-23.12,71.9,82,100,39.19
417,Mar del Plata,AR,-46.43,41.48,79,100,6.2
418,Kruisfontein,ZA,-34.0,48.33,84,2,7.16
419,East London,ZA,-33.02,49.67,78,0,8.1
420,Albany,US,42.65,64.92,49,40,5.79
421,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
422,Qasigiannguit,GL,68.82,51.8,53,75,5.48
423,Georgetown,GY,6.8,79.52,78,20,9.17
424,Alice Springs,AU,-23.7,60.8,51,0,6.93
425,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
426,Barrow,AR,-38.31,47.11,73,100,13.15
427,Avarua,CK,-21.21,77.0,69,99,14.99
428,Khatanga,RU,71.98,51.87,73,100,6.22
429,Ribeira Grande,PT,38.52,71.6,83,100,22.5
430,San Ramon,NI,12.92,67.66,97,71,4.52
431,Mataura,NZ,-46.19,43.0,87,100,15.01
432,Punta Arenas,CL,-53.16,39.09,93,40,8.05
433,Narsaq,GL,60.91,62.6,23,98,33.33
434,The Valley,AI,18.22,82.13,74,40,9.17
435,Nikolskoye,RU,59.7,52.45,81,23,2.24
436,Hobart,AU,-42.88,48.54,71,20,14.99
437,Nanortalik,GL,60.14,48.04,56,99,8.75
438,Susuman,RU,62.78,59.86,47,38,6.87
439,Barranca,PE,-10.75,62.96,89,35,12.55
440,Puerto Madryn,AR,-42.77,48.54,54,100,13.29
441,Victoria,BN,5.28,79.03,94,75,7.18
442,Dingle,PH,11.0,86.95,67,4,10.33
443,Malacatancito,GT,15.24,48.76,90,100,4.85
444,Tasiilaq,GL,65.61,48.2,61,0,2.24
445,Mandan,US,46.83,79.84,69,1,13.87
446,Chuy,UY,-33.69,42.66,76,100,7.38
447,Port Lincoln,AU,-34.72,58.33,68,0,9.37
448,Saskylakh,RU,71.97,55.34,67,96,6.15
449,Ternate,PH,14.29,88.61,74,40,6.93
450,Mataura,NZ,-46.19,43.0,87,100,15.01
451,Rikitea,PF,-23.12,71.9,82,100,39.19
452,Dhilwan,IN,30.78,80.6,100,75,6.93
453,Jamestown,AU,-33.21,49.86,82,17,4.23
454,Saskylakh,RU,71.97,55.34,67,96,6.15
455,Seydi,NE,13.34,84.36,51,86,19.13
456,Ushuaia,AR,-54.81,39.2,92,20,5.82
457,Punta Arenas,CL,-53.16,39.09,93,40,8.05
458,Atuona,PF,-9.8,80.06,76,3,13.35
459,Busselton,AU,-33.64,54.93,68,12,14.0
460,Plonsk,PL,52.62,55.58,87,75,11.41
461,Ushuaia,AR,-54.81,39.2,92,20,5.82
462,Mataura,NZ,-46.19,42.01,89,100,18.01
463,Codrington,AU,-28.95,61.39,77,75,6.93
464,Upernavik,GL,72.79,43.41,71,100,11.18
465,Punta Arenas,CL,-53.16,39.09,93,40,8.05
466,Rikitea,PF,-23.12,71.9,82,100,39.19
467,Kapaa,US,22.08,82.36,66,1,13.87
468,Vaini,IN,15.34,73.4,88,75,13.87
469,Mataura,NZ,-46.19,42.01,89,100,18.01
470,Taoudenni,ML,22.68,93.27,20,0,4.29
471,Hilo,US,19.71,80.42,62,90,10.29
472,Mahebourg,MU,-20.41,69.91,100,75,2.24
473,Arraial do Cabo,BR,-22.97,63.16,76,96,9.17
474,New Norfolk,AU,-42.78,51.71,71,20,14.99
475,Grand-Santi,GF,4.27,70.41,98,34,1.1
476,Jamestown,AU,-33.21,55.35,66,50,7.76
477,Montebello,US,34.02,71.28,60,1,5.23
478,Grindavik,IS,63.84,46.26,81,0,10.29
479,Tasiilaq,GL,65.61,48.2,61,0,2.24
480,Airai,TL,-8.93,81.36,55,14,3.49
481,Egvekinot,RU,66.32,72.61,37,13,7.4
482,Vaini,IN,15.34,73.4,88,75,13.87
483,Atuona,PF,-9.8,80.06,76,3,13.35
484,Bluff,AU,-23.58,61.44,82,100,12.5
485,Abrau-Dyurso,RU,44.7,55.4,93,0,2.24
486,Atuona,PF,-9.8,80.06,76,3,13.35
487,Cidreira,BR,-30.17,43.78,89,15,1.54
488,Mgandu,TZ,-5.96,57.47,92,24,9.08
489,Kapaa,US,22.08,82.36,66,1,13.87
490,Mataura,NZ,-46.19,42.01,89,100,18.01
491,New Norfolk,AU,-42.78,51.71,71,20,14.99
492,Ipilan,PH,8.84,83.77,68,0,5.95
493,Alice Springs,AU,-23.7,60.8,51,0,6.93
494,Nemuro,JP,43.32,60.8,87,75,4.7
495,Hobart,AU,-42.88,48.54,71,20,14.99
496,Bluff,AU,-23.58,61.44,82,100,12.5
497,Kapaa,US,22.08,82.36,66,1,13.87
498,Hermanus,ZA,-34.42,57.67,75,100,5.01
499,Ushuaia,AR,-54.81,39.2,92,20,5.82
500,Rikitea,PF,-23.12,70.5,90,100,36.28
501,Fortuna,US,40.6,66.22,72,75,13.87
502,La Spezia,IT,44.11,73.42,94,75,4.7
503,Cabo San Lucas,MX,22.89,81.73,47,90,11.41
504,Qaanaaq,GL,77.48,43.57,65,100,2.75
505,Qaanaaq,GL,77.48,43.57,65,100,2.75
506,Butaritari,KI,3.07,82.4,80,100,15.17
507,Conceicao do Araguaia,BR,-8.26,77.16,57,70,1.92
508,Port Elizabeth,US,39.31,74.3,88,75,5.82
509,Cape Town,ZA,-33.93,56.23,93,90,12.75
510,Srandakan,ID,-7.94,76.66,77,32,23.26
511,Atuona,PF,-9.8,80.06,76,3,13.35
512,Viedma,AR,-40.81,47.41,71,57,14.07
513,Busselton,AU,-33.64,54.93,68,12,14.0
514,Bathsheba,BB,13.22,82.4,78,40,17.22
515,Muros,ES,42.77,62.65,87,90,4.7
516,Butaritari,KI,3.07,82.4,80,100,15.17
517,Alice Town,BS,25.72,84.36,69,95,10.47
518,Albany,US,42.65,62.87,63,1,3.36
519,Larap,PH,14.3,85.32,72,31,10.33
520,Yining,CN,29.04,70.99,97,100,1.14
521,Kavieng,PG,-2.57,83.44,74,6,9.51
522,Butaritari,KI,3.07,82.4,80,100,15.17
523,Mataura,NZ,-46.19,42.01,89,100,18.01
524,Busselton,AU,-33.64,54.93,68,12,14.0
525,Batagay,RU,67.65,75.51,30,100,8.95
526,Nikolskoye,RU,59.7,52.45,81,23,2.24
527,Port Blair,IN,11.67,84.15,81,100,18.43
528,Xinan,CN,22.55,86.97,89,40,15.66
529,Ushuaia,AR,-54.81,39.2,94,20,5.82
530,Mataura,NZ,-46.19,42.01,89,100,18.01
531,San Cristobal,HN,14.68,67.62,96,100,2.19
532,At-Bashi,KG,41.17,72.0,83,0,2.57
533,Oksfjord,NO,70.24,49.73,71,100,13.87
534,Hobart,AU,-42.88,51.73,71,20,14.99
535,Kapaa,US,22.08,82.38,66,1,13.87
536,Mar del Plata,AR,-46.43,39.31,87,100,6.38
537,Galveston,US,40.58,77.4,78,40,6.93
538,Rikitea,PF,-23.12,70.5,90,100,36.28
539,Arraial do Cabo,BR,-22.97,63.16,76,96,9.17
540,Ribeira Grande,PT,38.52,71.6,83,100,22.5
541,Sinnamary,GF,5.38,80.98,78,51,10.47
542,Cape Town,ZA,-33.93,56.23,93,90,12.75
543,Dikson,RU,73.51,32.92,93,90,17.83
544,Jamestown,AU,-33.21,55.35,66,50,7.76
545,Cape Town,ZA,-33.93,56.23,93,90,12.75
546,Atuona,PF,-9.8,80.06,76,3,13.35
547,College,US,64.86,77.45,41,90,4.7
548,Norman Wells,CA,65.28,59.0,54,75,9.17
549,Dossor,KZ,47.52,77.29,32,0,8.52
550,Qaanaaq,GL,77.48,43.57,65,100,2.75
551,Mar del Plata,AR,-46.43,39.31,87,100,6.38
552,Warrington,GB,53.39,52.56,66,40,8.05
553,Busselton,AU,-33.64,54.93,68,12,14.0
554,Boyolangu,ID,-8.09,76.48,61,0,8.1
555,Punta Arenas,CL,-53.16,39.09,93,40,8.05
556,Hobart,AU,-42.88,51.73,71,20,14.99
557,Eureka,US,40.8,62.51,77,1,13.87
558,Mataura,NZ,-46.19,42.01,89,100,18.01
559,Rikitea,PF,-23.12,70.5,90,100,36.28
560,Khovu-Aksy,RU,51.13,68.81,66,98,9.51
561,Rabo de Peixe,PT,37.8,68.0,94,75,4.7
562,Mmabatho,ZA,-25.85,42.8,73,0,3.36
563,Punta Arenas,CL,-53.16,39.09,93,40,8.05
564,Kapaa,US,22.08,82.38,66,1,13.87
565,Punta Arenas,CL,-53.16,39.09,93,40,8.05
566,Manaus,BR,-3.13,78.8,83,20,3.36
567,Kropotkin,RU,45.43,68.52,59,0,1.83
568,Banda Aceh,ID,5.56,83.98,69,14,10.18
569,Ozernovskiy,RU,51.5,43.12,96,100,10.56
570,Simoes,BR,-7.6,77.7,48,53,3.69
571,Longyearbyen,NO,78.22,51.8,71,0,5.82
572,Ozernovskiy,RU,51.5,43.12,96,100,10.56
573,Hamilton,CA,43.26,66.99,63,20,5.82
574,Rikitea,PF,-23.12,70.5,90,100,36.28
575,Puerto Ayora,EC,-0.74,72.0,94,7,1.01
576,Sisimiut,GL,66.94,48.74,64,59,7.23
577,Storforshei,NO,66.4,50.9,92,84,5.06
578,Samarai,PG,-10.62,77.9,74,69,6.76
579,Saint George,GR,39.45,72.97,46,0,4.7
580,Mataura,NZ,-46.19,42.01,89,100,18.01
581,Hambantota,LK,6.12,78.8,100,75,4.7
582,Roald,NO,62.58,45.5,76,1,9.17
583,Beringovskiy,RU,63.05,61.77,59,90,5.53
584,Gladstone,AU,-23.84,73.72,49,75,12.75
585,Mataura,NZ,-46.19,42.01,89,100,18.01
586,Albany,US,42.65,62.87,63,1,3.36
587,Rikitea,PF,-23.12,70.5,90,100,36.28
588,Ushuaia,AR,-54.81,39.2,94,20,5.82
589,Cocobeach,GA,1.01,75.2,83,20,9.17
590,Vaini,IN,15.34,73.4,88,75,13.87
591,Jamestown,AU,-33.21,55.35,66,50,7.76
592,Kodiak,US,39.95,79.88,28,1,5.23
593,Sao Jose da Coroa Grande,BR,-8.9,70.0,94,19,2.28
594,Milas,TR,37.31,66.2,77,0,2.24
595,Saldanha,PT,41.42,60.33,91,34,1.7
596,Cape Town,ZA,-33.93,56.23,93,90,12.75
597,Loikaw,MM,19.67,70.63,89,100,5.77
598,Vadso,NO,70.07,44.6,87,29,13.87
599,Butaritari,KI,3.07,82.4,80,100,15.17
600,Qaanaaq,GL,77.48,43.57,65,100,2.75
601,Yellowknife,CA,62.45,50.0,81,90,14.99
602,Gua Musang,MY,4.88,81.73,57,30,0.81
603,Saskylakh,RU,71.97,52.07,84,100,6.15
604,Bluff,AU,-23.58,68.43,66,61,10.69
605,Touros,BR,-5.2,75.2,94,40,3.36
606,Skjervoy,NO,70.03,50.25,71,100,14.67
607,Punta Arenas,CL,-53.16,39.09,93,40,8.05
608,Sumbe,AO,-11.2,71.98,79,100,3.2
609,Punta Arenas,CL,-53.16,39.09,93,40,8.05
610,Castro,CL,-42.48,50.0,100,75,21.92
611,Punta Arenas,CL,-53.16,39.09,93,40,8.05
612,Butaritari,KI,3.07,82.4,80,100,15.17
613,Deputatskiy,RU,69.3,67.03,41,24,8.97
614,Bredasdorp,ZA,-34.53,60.19,67,2,13.87
615,Port Elizabeth,US,39.31,74.3,88,75,5.82
616,Muroto,JP,33.37,78.8,74,75,4.7
617,Sao Filipe,CV,14.9,72.16,81,69,13.65
618,Rikitea,PF,-23.12,70.5,90,100,36.28
619,Butaritari,KI,3.07,82.4,80,100,15.17
620,Muzhi,RU,65.4,54.46,59,100,12.73
621,Sitka,US,37.17,72.54,76,100,7.67
622,Ahipara,NZ,-35.17,57.9,69,93,20.02
623,Aklavik,CA,68.22,57.2,54,75,8.05
624,Westport,US,41.14,71.82,69,1,8.05
625,Necochea,AR,-38.55,39.31,89,100,5.99
626,Vangaindrano,MG,-23.35,60.15,86,2,3.98
627,Ushuaia,AR,-54.81,39.2,94,20,5.82
628,Bluff,AU,-23.58,68.43,66,61,10.69
629,Comodoro Rivadavia,AR,-45.87,44.6,93,0,12.75
630,Kapaa,US,22.08,82.38,66,1,13.87
631,Rikitea,PF,-23.12,70.5,90,100,36.28
632,Butaritari,KI,3.07,82.4,80,100,15.17
633,Hobart,AU,-42.88,51.73,71,20,14.99
634,Dikson,RU,73.51,32.92,93,90,17.83
635,Tabas,IR,33.6,84.2,16,0,2.24
636,Rikitea,PF,-23.12,70.5,90,100,36.28
637,Mezhdurechenskiy,RU,59.59,57.51,83,100,0.45
638,Sinnamary,GF,5.38,80.98,78,51,10.47
639,Umea,SE,63.83,54.03,93,100,10.29
640,Kavieng,PG,-2.57,83.44,74,6,9.51
641,Bluff,AU,-23.58,68.43,66,61,10.69
642,Punta Arenas,CL,-53.16,39.09,93,40,8.05
643,Rikitea,PF,-23.12,70.5,90,100,36.28
644,Hereford,GB,52.06,53.26,90,89,2.13
645,Kodiak,US,39.95,79.88,28,1,5.23
646,Saint-Philippe,CA,45.36,67.48,52,1,4.7
647,Rikitea,PF,-23.12,70.5,90,100,36.28
648,Puerto Ayora,EC,-0.74,72.0,94,7,1.01
649,Khatanga,RU,71.98,51.87,73,100,6.22
650,Faanui,PF,-16.48,78.8,85,100,16.02
651,Hithadhoo,MV,-0.6,84.06,76,0,14.25
652,Aksu,KZ,52.04,69.8,60,0,6.71
653,Kavieng,PG,-2.57,83.44,74,6,9.51
654,Port Blair,IN,11.67,84.15,81,100,18.43
655,Hobart,AU,-42.88,51.73,71,20,14.99
656,Bluff,AU,-23.58,68.43,66,61,10.69
657,Kijang,KR,35.24,75.2,64,75,10.29
658,Casablanca,MA,33.6,67.08,94,75,6.93
659,Hambantota,LK,6.12,78.8,100,75,4.7
660,Berestechko,UA,50.36,55.0,72,7,7.76
661,Grand Gaube,MU,-20.01,69.89,100,75,2.24
662,Albany,US,42.65,62.87,63,1,3.36
663,Constitucion,MX,23.99,62.6,77,90,18.34
664,Busselton,AU,-33.64,54.93,68,12,14.0
665,Puerto Ayora,EC,-0.74,72.0,94,7,1.01
666,Goundam,ML,16.42,93.24,32,17,6.93
667,Albany,US,42.65,62.87,63,1,3.36
668,Puerto Ayora,EC,-0.74,72.0,94,7,1.01
669,Rikitea,PF,-23.12,70.5,90,100,36.28
670,Narsaq,GL,60.91,62.6,23,98,33.33
671,Upernavik,GL,72.79,43.41,71,100,11.18
672,Nortelandia,BR,-14.45,58.84,56,0,2.35
673,Touros,BR,-5.2,75.2,94,40,3.36
674,Vaini,IN,15.34,73.4,88,75,13.87
675,Yellowknife,CA,62.45,50.0,81,90,14.99
